length,shows,avg_songs,avg_se,most_common_songs
10 min,1,2.0,0.0,"Dear,History (1/1), ルミナス (1/1)"
15 min,1,4.0,1.0,"SE(Into the Blue) (1/1), Into the Blue (1/1), 朝焼けと車窓 (1/1), ルミナス (1/1), Sunlight (1/1)"
20 min,17,4.8,0.7,"ルミナス (15/17), 朝焼けと車窓 (15/17), Moving Lights! (11/17), Into the Blue (9/17), Interlude (8/17)"
25 min,82,5.8,0.8,"朝焼けと車窓 (81/82), ルミナス (80/82), Dear,History (53/82), ラブストーリーが始まらない (42/82), SE (39/82)"
30 min,40,6.8,0.8,"ルミナス (39/40), 朝焼けと車窓 (38/40), Moving Lights! (27/40), Dear,History (25/40), Blooming (23/40)"
